#file_name, index, sxy. score = 0.95
13,0,0.9291764497756958
13,1,0.9258346557617188
13,2,0.9268485903739929
13,3,0.9119587540626526
13,4,0.9064134955406189
13,5,0.9101941585540771
12,0,0.8978738188743591
12,1,0.8973560929298401
12,2,0.899846613407135
12,3,0.89400315284729
12,4,0.8792874813079834
12,5,0.8787743449211121
19,0,0.9030443429946899
19,1,0.9105961918830872
19,2,0.913018524646759
19,3,0.9063385128974915
19,4,0.8843783736228943
19,5,0.885818600654602
05,0,0.9190298914909363
05,1,0.9231320023536682
05,2,0.9240716695785522
05,3,0.8973077535629272
05,4,0.9132049679756165
05,5,0.8912671804428101
14,3,0.9300371408462524
14,4,0.9451361894607544
14,5,0.9436302185058594
16,0,0.9347850680351257
16,1,0.9398448467254639
16,2,0.9408953785896301
16,3,0.9080567359924316
16,4,0.9288952350616455
16,5,0.9226315021514893
10,0,0.8936399221420288
10,1,0.8913727402687073
10,2,0.8973591327667236
10,3,0.8914616703987122
10,4,0.876045286655426
10,5,0.866305947303772
03,0,0.899694561958313
03,1,0.9050312042236328
03,2,0.892885148525238
03,3,0.9028726816177368
03,4,0.8770004510879517
03,5,0.8758550882339478
04,0,0.9070565104484558
04,1,0.916728675365448
04,2,0.9102853536605835
04,3,0.9101054072380066
04,4,0.8833812475204468
04,5,0.8916213512420654
18,0,0.9403388500213623
18,1,0.9445503354072571
18,2,0.9440487623214722
18,3,0.945074737071991
18,4,0.9368390440940857
18,5,0.9317096471786499
07,0,0.9340595602989197
07,1,0.9333053827285767
07,2,0.9410860538482666
07,3,0.9108464121818542
07,4,0.9250419735908508
07,5,0.9307219982147217
06,0,0.9192068576812744
06,1,0.9165075421333313
06,2,0.9084196090698242
06,3,0.9002690315246582
06,4,0.8868440389633179
06,5,0.8899976015090942
02,0,0.8974296450614929
02,1,0.8972258567810059
02,2,0.8992668986320496
02,3,0.8964877128601074
02,4,0.8769250512123108
02,5,0.8824280500411987
15,0,0.9155716300010681
15,1,0.9202370643615723
15,2,0.9189009070396423
15,3,0.9060449004173279
15,4,0.8916854858398438
15,5,0.895243227481842
00,0,0.8987250924110413
00,1,0.8881902098655701
00,2,0.888933539390564
00,3,0.9050379991531372
00,4,0.8592943549156189
00,5,0.857767641544342
17,1,0.9401577115058899
17,2,0.9351487159729004
17,4,0.9270100593566895
17,5,0.9205259084701538
01,0,0.8937992453575134
01,1,0.8969874978065491
01,2,0.9082807898521423
01,3,0.8740600347518921
01,4,0.8538463711738586
01,5,0.875335693359375
08,0,0.922863245010376
08,1,0.9266455769538879
08,2,0.9345473647117615
08,3,0.9105536341667175
08,4,0.9103221893310547
08,5,0.9176733493804932
