#file_name, index, ssim, lxy, cxy, sxy
11,0,1.0,1.0,1.0,1.0
11,1,1.0,1.0,1.0,1.0
11,2,1.0,1.0,1.0,1.0
11,3,1.0,1.0,1.0,1.0
11,4,1.0,1.0,1.0,1.0
11,5,1.0,1.0,1.0,1.0
13,0,0.919007420539856,0.9956832528114319,0.9858454465866089,0.9291764497756958
13,1,0.9156033992767334,0.996066153049469,0.9851414561271667,0.9258346557617188
13,2,0.917938232421875,0.9969485998153687,0.9872882962226868,0.9268485903739929
13,3,0.8998613953590393,0.9939409494400024,0.9840745329856873,0.9119587540626526
13,4,0.8942130208015442,0.9935982823371887,0.9839625954627991,0.9064134955406189
13,5,0.8971995115280151,0.9928299188613892,0.9831526875495911,0.9101941585540771
12,0,0.8807928562164307,0.9901282787322998,0.9703395366668701,0.8978738188743591
12,1,0.8815463185310364,0.9921825528144836,0.9711802005767822,0.8973560929298401
12,2,0.8869639039039612,0.9946624040603638,0.9769840836524963,0.899846613407135
12,3,0.8767751455307007,0.9911472201347351,0.9751535654067993,0.89400315284729
12,4,0.8617579936981201,0.9903167486190796,0.9722632169723511,0.8792874813079834
12,5,0.8610138297080994,0.9893555045127869,0.9717703461647034,0.8787743449211121
19,0,0.8881534337997437,0.9921877384185791,0.974748969078064,0.9030443429946899
19,1,0.8992087244987488,0.9951938390731812,0.9799333810806274,0.9105961918830872
19,2,0.903475821018219,0.9963229894638062,0.9838789105415344,0.913018524646759
19,3,0.8917936682701111,0.9917008876800537,0.9812034368515015,0.9063385128974915
19,4,0.8694431185722351,0.9911949634552002,0.978092610836029,0.8843783736228943
19,5,0.8687789440155029,0.9887750148773193,0.9752371311187744,0.885818600654602
05,0,0.9080613851547241,0.9954468607902527,0.9847239255905151,0.9190298914909363
05,1,0.9124463796615601,0.9956269860267639,0.9840547442436218,0.9231320023536682
05,2,0.9154874682426453,0.9966453909873962,0.9882063865661621,0.9240716695785522
05,3,0.8853154182434082,0.9933343529701233,0.9836758971214294,0.8973077535629272
05,4,0.9014415144920349,0.9929719567298889,0.9841643571853638,0.9132049679756165
05,5,0.8763390779495239,0.9909688830375671,0.9786096811294556,0.8912671804428101
14,0,0.9447832107543945,0.9978386759757996,0.9933947920799255,0.9515818953514099
14,1,0.9496749639511108,0.998039186000824,0.9934898018836975,0.9562366604804993
14,2,0.948130190372467,0.9981099963188171,0.9938838481903076,0.9542134404182434
14,3,0.9198761582374573,0.9942014813423157,0.9908647537231445,0.9300371408462524
14,4,0.936717689037323,0.995780348777771,0.9915061593055725,0.9451361894607544
14,5,0.9340777397155762,0.9950252771377563,0.9904797673225403,0.9436302185058594
16,0,0.9266061186790466,0.9969403147697449,0.9900569319725037,0.9347850680351257
16,1,0.9314048886299133,0.9970694780349731,0.989425003528595,0.9398448467254639
16,2,0.9339229464530945,0.9975937604904175,0.9917787909507751,0.9408953785896301
16,3,0.8972108960151672,0.9942184686660767,0.9868021011352539,0.9080567359924316
16,4,0.9177796840667725,0.9937386512756348,0.9873800873756409,0.9288952350616455
16,5,0.9100360870361328,0.991795539855957,0.9852994084358215,0.9226315021514893
10,0,0.8724565505981445,0.987766444683075,0.9644779562950134,0.8936399221420288
10,1,0.873176634311676,0.9904651045799255,0.9672215580940247,0.8913727402687073
10,2,0.8829241394996643,0.9935933351516724,0.9736719727516174,0.8973591327667236
10,3,0.8747894167900085,0.9911787509918213,0.9746679067611694,0.8914616703987122
10,4,0.8572341799736023,0.9893509745597839,0.96952885389328,0.876045286655426
